Survived,SibSp,Parch,Fare,Age,male,Q,S
0,1,0,7.25,22,1,0,1
1,1,0,71.2833,38,0,0,0
1,0,0,7.925,26,0,0,1
1,1,0,53.1,35,0,0,1
0,0,0,8.05,35,1,0,1
0,0,0,51.8625,54,1,0,1
0,3,1,21.075,2,1,0,1
1,0,2,11.1333,27,0,0,1
1,1,0,30.0708,14,0,0,0
1,1,1,16.7,4,0,0,1
1,0,0,26.55,58,0,0,1
0,0,0,8.05,20,1,0,1
0,1,5,31.275,39,1,0,1
0,0,0,7.8542,14,0,0,1
1,0,0,16,55,0,0,1
0,4,1,29.125,2,1,1,0
0,1,0,18,31,0,0,1
0,0,0,26,35,1,0,1
1,0,0,13,34,1,0,1
1,0,0,8.0292,15,0,1,0
1,0,0,35.5,28,1,0,1
0,3,1,21.075,8,0,0,1
1,1,5,31.3875,38,0,0,1
0,3,2,263,19,1,0,1
0,0,0,27.7208,40,1,0,0
0,0,0,10.5,66,1,0,1
0,1,0,82.1708,28,1,0,0
0,1,0,52,42,1,0,1
0,0,0,8.05,21,1,0,1
0,2,0,18,18,0,0,1
1,1,0,11.2417,14,0,0,0
0,1,0,9.475,40,0,0,1
0,1,0,21,27,0,0,1
1,1,2,41.5792,3,0,0,0
1,0,0,7.8792,19,0,1,0
0,1,0,17.8,18,0,0,1
0,4,1,39.6875,7,1,0,1
0,0,0,7.8,21,1,0,1
1,1,0,76.7292,49,0,0,0
1,1,0,26,29,0,0,1
0,0,1,61.9792,65,1,0,0
1,0,0,10.5,21,0,0,1
0,0,0,7.2292,28.5,1,0,0
1,1,2,27.75,5,0,0,1
0,5,2,46.9,11,1,0,1
0,0,0,7.2292,22,1,0,0
0,1,0,83.475,45,1,0,1
0,3,2,27.9,4,1,0,1
1,0,0,10.5,29,0,0,1
0,0,0,8.1583,19,1,0,1
1,4,2,7.925,17,0,0,1
0,2,0,8.6625,26,1,0,1
0,0,0,10.5,32,1,0,1
0,5,2,46.9,16,0,0,1
0,0,0,73.5,21,1,0,1
0,1,0,14.4542,26,1,0,0
1,0,0,56.4958,32,1,0,1
0,0,0,7.65,25,1,0,1
1,0,2,29,0.83,1,0,1
1,0,0,12.475,30,0,0,1
0,0,0,9,22,1,0,1
1,0,0,9.5,29,1,0,1
0,0,0,47.1,28,1,0,1
1,0,0,10.5,17,0,0,1
1,3,0,15.85,33,0,0,1
0,1,3,34.375,16,1,0,1
1,3,2,263,23,0,0,1
0,0,0,8.05,24,1,0,1
0,0,0,8.05,29,1,0,1
0,0,0,7.8542,20,1,0,1
0,1,0,61.175,46,1,0,1
0,1,2,20.575,26,1,0,1
0,0,0,7.25,59,1,0,1
0,0,0,34.6542,71,1,0,0
1,0,1,63.3583,23,1,0,0
1,0,1,23,34,0,0,1
0,1,0,26,34,1,0,1
0,0,0,7.8958,28,0,0,1
0,0,1,77.2875,21,1,0,1
0,0,0,8.6542,33,1,0,1
0,2,0,7.925,37,1,0,1
0,0,0,7.8958,28,1,0,1
1,0,0,7.65,21,0,0,1
0,0,0,7.8958,38,1,0,1
0,0,0,52,47,1,0,1
0,1,0,14.4542,14.5,0,0,0
0,0,0,8.05,22,1,0,1
0,1,0,9.825,20,0,0,1
0,0,0,14.4583,17,0,0,0
0,0,0,7.925,21,1,0,1
0,0,0,7.75,70.5,1,1,0
0,1,0,21,29,1,0,1
0,0,1,247.5208,24,1,0,0
0,4,2,31.275,2,0,0,1
0,2,0,73.5,21,1,0,1
0,1,0,30.0708,32.5,1,0,0
1,0,0,13,32.5,0,0,1
0,0,1,77.2875,54,1,0,1
1,1,0,11.2417,12,1,0,0
1,0,0,7.1417,24,1,0,1
0,0,0,6.975,45,1,0,1
0,0,0,7.8958,33,1,0,0
0,0,0,7.05,20,1,0,1
0,1,0,14.5,47,0,0,1
1,1,0,26,29,0,0,1
0,0,0,13,25,1,0,1
0,0,0,15.0458,23,1,0,0
1,0,2,26.2833,19,0,0,1
0,1,0,53.1,37,1,0,1
0,0,0,9.2167,16,1,0,1
0,0,0,79.2,24,1,0,0
1,0,0,7.75,22,0,0,1
1,1,0,15.85,24,0,0,1
0,0,0,6.75,19,1,1,0
0,0,0,11.5,18,1,0,1
0,1,1,36.75,19,1,0,1
1,0,0,7.7958,27,1,0,1
0,2,2,34.375,9,0,0,1
0,0,2,26,36.5,1,0,1
0,0,0,13,42,1,0,1
0,0,0,12.525,51,1,0,1
1,1,0,66.6,22,0,0,1
0,0,0,8.05,55.5,1,0,1
0,0,2,14.5,40.5,1,0,1
0,0,1,61.3792,51,1,0,0
1,0,0,7.7333,16,0,1,0
0,0,0,8.05,30,1,0,1
0,0,1,16.1,44,1,0,1
1,0,0,15.75,40,0,0,1
0,0,0,7.775,26,1,0,1
0,0,0,8.6625,17,1,0,1
0,4,1,39.6875,1,1,0,1
1,0,2,20.525,9,1,0,1
0,1,4,27.9,45,0,0,1
0,0,0,56.4958,28,1,0,1
0,0,0,33.5,61,1,0,1
0,4,1,29.125,4,1,1,0
1,1,1,11.1333,1,0,0,1
0,0,0,7.925,21,1,0,1
0,0,0,30.6958,56,1,0,0
0,1,1,7.8542,18,1,0,1
0,0,0,28.7125,50,0,0,0
0,0,0,13,30,1,0,1
0,0,0,0,36,1,0,1
0,4,2,31.3875,9,1,0,1
1,2,1,39,1,1,0,1
1,0,2,22.025,4,0,0,1
1,0,0,26.55,45,1,0,1
0,1,1,15.5,40,1,1,0
0,0,0,7.8958,36,1,0,1
1,0,0,13,32,0,0,1
0,0,0,13,19,1,0,1
1,1,0,7.8542,19,0,0,1
1,1,1,26,3,1,0,1
1,0,0,27.7208,44,0,0,0
1,0,0,146.5208,58,0,0,0
0,0,1,8.4042,42,1,0,1
0,0,0,13,24,0,0,1
0,0,0,9.5,28,1,0,1
0,0,0,6.4958,34,1,0,1
0,0,0,7.225,45.5,1,0,0
1,0,0,8.05,18,1,0,1
0,0,1,10.4625,2,0,0,1
0,1,0,15.85,32,1,0,1
1,0,0,18.7875,26,1,0,0
1,0,0,7.75,16,0,1,0
1,0,0,31,40,1,0,0
0,0,0,7.05,24,1,0,1
1,0,0,21,35,0,0,1
0,0,0,7.25,22,1,0,1
0,0,0,13,30,1,0,1
1,1,0,113.275,31,0,0,0
1,0,0,7.925,27,0,0,1
0,1,0,27,42,1,0,1
1,0,0,76.2917,32,0,0,0
0,0,0,10.5,30,1,0,1
1,0,0,8.05,16,1,0,1
0,0,0,13,27,1,0,1
0,0,0,8.05,51,1,0,1
1,1,0,90,38,1,0,1
0,0,0,9.35,22,1,0,1
1,0,0,10.5,19,1,0,1
0,0,0,7.25,20.5,1,0,1
0,0,0,13,18,1,0,1
1,1,0,83.475,35,0,0,1
0,0,0,7.775,29,1,0,1
0,0,0,13.5,59,1,0,1
1,4,2,31.3875,5,0,0,1
0,0,0,10.5,24,1,0,1
0,1,0,26,44,1,0,1
1,0,2,26.25,8,0,0,1
0,0,0,10.5,19,1,0,1
0,0,0,12.275,33,1,0,1
0,0,0,10.5,29,1,0,1
0,0,0,7.125,22,1,0,1
0,0,0,7.225,30,1,0,0
0,2,0,90,44,1,1,0
0,0,0,7.775,25,0,0,1
1,0,2,14.5,24,0,0,1
1,1,1,52.5542,37,1,0,1
0,1,0,26,54,1,0,1
0,1,1,10.4625,29,0,0,1
0,0,0,26.55,62,1,0,1
0,1,0,16.1,30,1,0,1
0,0,2,20.2125,41,0,0,1
1,0,2,15.2458,29,0,0,0
1,0,0,86.5,30,0,0,1
1,0,0,512.3292,35,0,0,0
1,0,1,26,50,0,0,1
1,4,2,31.3875,3,1,0,1
0,1,1,79.65,52,1,0,1
0,0,0,0,40,1,0,1
0,0,0,10.5,36,1,0,1
0,4,1,39.6875,16,1,0,1
1,1,0,7.775,25,1,0,1
1,0,1,153.4625,58,0,0,1
1,0,0,135.6333,35,0,0,1
1,0,0,0,25,1,0,1
1,0,1,19.5,41,0,0,1
0,0,1,29.7,37,1,0,0
1,1,0,77.9583,63,0,0,1
0,0,0,7.75,45,0,0,1
0,4,1,29.125,7,1,1,0
1,1,1,20.25,35,0,0,1
0,0,0,7.75,65,1,1,0
0,0,0,7.8542,28,1,0,1
0,0,0,9.5,16,1,0,1
1,0,0,8.05,19,1,0,1
0,0,0,8.6625,33,1,0,0
1,0,0,9.5,30,1,0,1
0,0,0,7.8958,22,1,0,1
1,0,0,13,42,1,0,1
1,0,0,7.75,22,0,1,0
1,0,0,78.85,26,0,0,1
1,1,0,91.0792,19,0,0,0
0,0,0,12.875,36,1,0,0
0,0,0,8.85,24,0,0,1
0,0,0,7.8958,24,1,0,1
0,0,0,7.2292,23.5,1,0,0
0,1,2,151.55,2,0,0,1
1,0,1,247.5208,50,0,0,0
0,0,0,0,19,1,0,1
1,1,2,151.55,0.92,1,0,1
1,1,0,108.9,17,0,0,0
0,1,0,24,30,1,0,0
1,0,0,56.9292,30,0,0,0
1,0,0,83.1583,24,0,0,0
1,2,2,262.375,18,0,0,0
0,1,1,26,26,0,0,1
0,0,0,7.8958,28,1,0,1
0,1,1,26.25,43,1,0,1
1,0,0,7.8542,26,0,0,1
1,1,0,26,24,0,0,1
0,0,0,14,54,1,0,1
1,0,2,164.8667,31,0,0,1
1,1,1,134.5,40,0,0,0
0,0,0,7.25,22,1,0,1
0,0,0,7.8958,27,1,0,1
1,0,0,12.35,30,0,1,0
1,1,1,29,22,0,0,1
1,0,0,135.6333,36,0,0,0
0,0,0,6.2375,61,1,0,1
1,0,0,13,36,0,0,1
1,1,1,20.525,31,0,0,1
1,0,1,57.9792,16,0,0,0
0,0,0,28.5,45.5,1,0,1
0,0,1,153.4625,38,1,0,1
0,2,0,18,16,1,0,1
0,1,0,66.6,29,1,0,1
1,0,0,134.5,41,0,0,0
1,0,0,8.05,45,1,0,1
0,0,0,35.5,45,1,0,1
1,1,1,26,2,1,0,1
1,3,2,263,24,0,0,1
0,0,0,13,28,1,0,1
0,0,0,13,25,1,0,1
0,0,0,13,36,1,0,1
1,0,0,13,24,0,0,1
1,0,0,13,40,0,0,1
1,1,1,15.9,3,1,0,1
0,0,0,8.6625,42,1,0,1
0,0,0,9.225,23,1,0,1
0,1,1,7.2292,15,1,0,0
0,1,0,17.8,25,1,0,1
0,0,0,9.5,28,1,0,1
1,0,1,55,22,0,0,1
0,0,0,13,38,0,0,1
0,1,4,27.9,40,1,0,1
0,1,0,27.7208,29,1,0,0
0,0,1,14.4542,45,0,0,0
0,0,0,7.05,35,1,0,1
0,0,0,7.25,30,1,0,1
1,1,0,75.25,60,0,0,0
1,0,0,69.3,24,0,0,0
1,1,0,55.4417,25,1,0,0
0,1,0,6.4958,18,1,0,1
0,0,0,8.05,19,1,0,1
0,0,0,135.6333,22,1,0,0
0,3,1,21.075,3,0,0,1
1,0,0,7.25,22,0,0,1
0,0,2,211.5,27,1,0,0
0,0,0,4.0125,20,1,0,0
0,0,0,7.775,19,1,0,1
1,0,0,227.525,42,0,0,0
1,0,2,15.7417,1,0,0,0
0,0,0,7.925,32,1,0,1
1,1,0,52,35,0,0,1
0,0,0,73.5,18,1,0,1
0,5,2,46.9,1,1,0,1
1,0,0,13,36,0,0,1
1,0,0,12,17,0,0,0
1,1,2,120,36,1,0,1
1,0,0,7.7958,21,1,0,1
0,2,0,7.925,28,1,0,1
1,1,0,113.275,23,0,0,0
1,0,2,16.7,24,0,0,1
0,0,0,7.7958,22,1,0,1
0,0,0,7.8542,31,0,0,1
0,0,0,26,46,1,0,1
0,0,0,10.5,23,1,0,1
1,0,0,12.65,28,0,0,1
1,0,0,7.925,39,1,0,1
0,0,0,8.05,26,1,0,1
0,1,0,9.825,21,0,0,1
0,1,0,15.85,28,1,0,1
0,0,0,8.6625,20,0,0,1
0,1,0,21,34,1,0,1
0,0,0,7.75,51,1,0,1
1,1,1,18.75,3,1,0,1
0,0,0,7.775,21,1,0,1
1,1,0,90,33,0,1,0
1,0,0,7.925,44,1,0,1
1,1,1,32.5,34,0,0,1
1,0,2,13,18,0,0,1
0,0,0,13,30,1,0,1
0,0,2,24.15,10,0,0,1
0,0,0,7.7333,21,1,1,0
0,0,0,7.875,29,1,0,1
0,1,1,14.4,28,0,0,1
0,1,1,20.2125,18,1,0,1
1,1,0,26,28,0,0,1
1,0,0,26,19,0,0,1
1,0,0,8.05,32,1,0,1
1,0,0,26.55,28,1,0,1
1,1,0,26,42,0,0,1
0,0,0,7.125,17,1,0,1
0,1,0,55.9,50,1,0,1
1,1,2,120,14,0,0,1
0,2,2,34.375,21,0,0,1
1,2,3,18.75,24,0,0,1
0,1,4,263,64,1,0,1
0,0,0,10.5,31,1,0,1
1,1,1,26.25,45,0,0,1
0,0,0,9.5,20,1,0,1
0,1,0,7.775,25,1,0,1
1,0,0,13,28,0,0,1
1,0,2,81.8583,4,1,0,1
1,0,1,19.5,13,0,0,1
1,0,0,26.55,34,1,0,1
1,2,1,19.2583,5,0,0,0
1,0,0,30.5,52,1,0,1
0,1,2,27.75,36,1,0,1
0,0,0,27.75,30,1,0,0
1,1,0,89.1042,49,1,0,0
1,0,0,7.8958,29,1,0,0
0,0,0,26.55,65,1,0,1
1,0,0,10.5,50,0,0,1
1,0,0,26.55,48,1,0,1
0,0,0,8.05,34,1,0,1
0,0,0,38.5,47,1,0,1
0,0,0,13,48,1,0,1
0,0,0,7.05,38,1,0,1
0,0,0,26.55,56,1,0,1
1,2,1,19.2583,0.75,0,0,0
0,0,0,8.6625,38,1,0,1
1,1,2,27.75,33,0,0,1
1,0,0,13.7917,23,0,0,0
0,0,0,9.8375,22,0,0,1
0,1,0,21,34,1,0,1
0,1,0,7.0458,29,1,0,1
0,0,0,7.5208,22,1,0,1
1,0,1,12.2875,2,0,0,1
0,5,2,46.9,9,1,0,1
0,0,0,8.05,50,1,0,1
1,0,0,9.5875,63,0,0,1
1,1,0,91.0792,25,1,0,0
1,1,0,90,35,0,0,1
0,0,0,29.7,58,1,0,0
0,0,0,8.05,30,1,0,1
1,1,1,15.9,9,1,0,1
0,0,0,7.25,21,1,0,1
0,0,0,30.5,55,1,0,1
0,0,0,49.5042,71,1,0,0
0,0,0,8.05,21,1,0,1
1,1,0,78.2667,54,0,0,0
0,1,2,151.55,25,0,0,1
0,0,0,7.7958,24,1,0,1
0,0,0,8.6625,17,1,0,1
0,0,0,7.75,21,0,1,0
0,0,0,9.5875,37,0,0,1
1,0,0,86.5,16,0,0,1
0,1,0,108.9,18,1,0,0
1,0,2,26,33,0,0,1
0,0,0,22.525,28,1,0,1
1,0,0,56.4958,26,1,0,1
1,0,0,7.75,29,1,1,0
1,0,0,26.2875,36,1,0,1
1,1,0,59.4,54,0,0,0
0,0,0,7.4958,24,1,0,1
0,0,0,34.0208,47,1,0,1
1,0,0,10.5,34,0,0,1
1,1,0,26,36,0,0,1
0,0,0,7.8958,32,1,0,1
1,0,0,93.5,30,0,0,1
0,0,0,7.8958,22,1,0,1
1,0,1,57.9792,44,0,0,0
0,0,0,7.75,40.5,1,1,0
1,0,0,10.5,50,0,0,1
0,0,0,7.925,39,1,0,1
0,2,1,11.5,23,1,0,1
1,1,1,26,2,0,0,1
0,1,1,7.2292,17,1,0,0
0,0,0,8.6625,30,0,0,1
1,0,2,26.25,7,0,0,1
0,0,0,26.55,45,1,0,1
1,0,0,106.425,30,0,0,0
1,0,2,49.5,22,0,0,0
1,0,2,71,36,0,0,1
0,4,2,31.275,9,0,0,1
0,4,2,31.275,11,0,0,1
1,1,0,26,32,1,0,1
0,1,0,106.425,50,1,0,0
0,0,0,26,64,1,0,1
1,1,0,26,19,0,0,1
0,1,1,20.525,33,1,0,1
1,1,1,36.75,8,1,0,1
1,0,2,110.8833,17,1,0,0
0,0,0,26,27,1,0,1
1,0,0,7.225,22,1,0,0
1,0,0,7.775,22,0,0,1
0,0,0,26.55,62,1,0,1
1,1,0,39.6,48,0,0,0
1,1,1,79.65,39,0,0,1
1,1,0,17.4,36,0,0,1
0,0,0,7.8958,40,1,0,1
0,0,0,13.5,28,1,0,1
0,2,0,24.15,24,1,0,1
0,0,0,7.8958,19,1,0,1
0,0,4,21.075,29,0,0,1
1,0,0,7.8542,32,1,0,1
1,0,0,10.5,62,1,0,1
1,2,0,51.4792,53,0,0,1
1,0,0,26.3875,36,1,0,1
0,0,0,8.05,16,1,0,1
0,0,0,14.5,19,1,0,1
1,0,0,13,34,0,0,1
1,1,0,55.9,39,0,0,1
1,0,0,7.925,32,1,0,1
1,1,1,30,25,0,0,1
1,1,1,110.8833,39,0,0,0
0,0,0,26,54,1,0,1
0,0,0,40.125,36,1,0,0
1,0,2,79.65,18,0,0,1
0,0,0,15,47,1,0,1
1,1,1,79.2,60,1,0,0
0,0,0,8.05,22,1,0,1
0,0,0,7.125,35,1,0,1
1,1,0,78.2667,52,0,0,0
0,0,0,7.25,47,1,0,1
0,1,0,26,37,1,0,1
0,1,1,24.15,36,1,0,1
0,0,0,0,49,1,0,1
1,1,0,56.9292,49,1,0,0
1,2,1,27,24,0,0,1
0,0,0,8.05,44,1,0,1
1,0,0,26.55,35,1,0,0
0,1,0,15.55,36,1,0,1
0,0,0,7.8958,30,1,0,1
1,0,0,30.5,27,1,0,1
1,1,2,41.5792,22,0,0,0
1,0,0,153.4625,40,0,0,1
0,1,5,31.275,39,0,0,1
0,0,0,8.05,35,1,0,1
1,1,2,65,24,0,0,1
0,1,1,14.4,34,1,0,1
0,1,0,16.1,26,0,0,1
1,2,1,39,4,0,0,1
0,0,0,10.5,26,1,0,1
0,1,0,14.4542,27,1,0,0
1,1,0,52.5542,42,1,0,1
1,1,1,15.7417,20,1,0,0
0,0,0,7.8542,21,1,0,1
0,0,0,16.1,21,1,0,1
0,0,0,32.3208,61,1,0,1
0,0,0,12.35,57,1,1,0
1,0,0,77.9583,21,0,0,1
0,0,0,7.8958,26,1,0,1
1,0,0,30,80,1,0,1
0,0,0,7.0542,51,1,0,1
1,0,0,30.5,32,1,0,0
0,3,2,27.9,9,0,0,1
1,0,0,13,28,0,0,1
0,0,0,7.925,32,1,0,1
0,1,1,26.25,31,1,0,1
0,0,5,39.6875,41,0,0,1
0,0,0,7.8542,20,1,0,1
1,0,0,69.3,24,0,0,0
0,3,2,27.9,2,0,0,1
1,2,1,19.2583,0.75,0,0,0
1,1,0,76.7292,48,1,0,0
0,0,0,7.8958,19,1,0,1
1,0,0,35.5,56,1,0,0
1,0,0,7.55,23,0,0,1
1,0,1,23,18,0,0,1
0,0,0,8.4333,21,1,0,1
0,0,0,6.75,18,0,1,0
0,2,0,73.5,24,1,0,1
0,1,1,15.5,32,0,1,0
0,0,0,13,23,1,0,1
0,0,2,113.275,58,1,0,0
1,2,0,133.65,50,1,0,1
0,0,0,7.225,40,1,0,0
0,0,0,25.5875,47,1,0,1
0,0,0,7.4958,36,1,0,1
1,1,0,7.925,20,1,0,1
0,2,0,73.5,32,1,0,1
0,0,0,13,25,1,0,1
0,0,0,8.05,43,1,0,1
1,1,1,39,40,0,0,1
0,1,0,52,31,1,0,1
0,0,0,10.5,70,1,0,1
1,0,0,13,31,1,0,1
0,0,0,7.775,18,1,0,1
0,0,0,8.05,24.5,1,0,1
1,0,0,9.8417,18,0,0,1
0,1,6,46.9,43,0,0,1
1,0,1,512.3292,36,1,0,0
1,0,0,76.7292,27,1,0,0
0,0,0,9.225,20,1,0,1
0,5,2,46.9,14,1,0,1
0,1,1,39,60,1,0,1
0,1,2,41.5792,25,1,0,0
0,4,1,39.6875,14,1,0,1
0,0,0,10.1708,19,1,0,1
0,0,0,7.7958,18,1,0,1
1,0,1,211.3375,15,0,0,1
1,1,0,57,31,1,0,1
1,0,1,13.4167,4,0,0,0
0,0,0,7.225,25,1,0,0
0,0,0,26.55,60,1,0,1
0,0,0,13.5,52,1,0,1
0,0,0,8.05,44,1,0,1
0,1,1,110.8833,49,1,0,0
0,0,0,7.65,42,1,0,1
1,1,0,227.525,18,0,0,0
1,0,0,26.2875,35,1,0,1
0,0,1,14.4542,18,0,0,0
0,0,0,7.7417,25,1,1,0
0,1,0,7.8542,26,1,0,1
0,0,0,26,39,1,0,1
1,0,0,13.5,45,0,0,1
1,0,0,26.2875,42,1,0,1
1,0,0,151.55,22,0,0,1
1,0,0,49.5042,24,0,0,0
1,1,0,52,48,1,0,1
0,0,0,9.4833,29,1,0,1
0,0,0,13,52,1,0,1
0,0,0,7.65,19,1,0,1
1,0,0,227.525,38,0,0,0
1,0,0,10.5,27,0,0,1
0,0,0,7.775,33,1,0,1
1,0,1,33,6,0,0,1
0,1,0,7.0542,17,1,0,1
0,0,0,13,34,1,0,1
0,0,0,13,50,1,0,1
1,1,0,53.1,27,1,0,1
0,0,0,8.6625,20,1,0,1
1,3,0,21,30,0,0,1
0,1,0,26,25,1,0,1
0,1,0,7.925,25,0,0,1
1,0,0,211.3375,29,0,0,1
0,0,0,18.7875,11,1,0,0
0,0,0,13,23,1,0,1
0,0,0,13,23,1,0,1
0,0,0,16.1,28.5,1,0,1
0,1,3,34.375,48,0,0,1
1,0,0,512.3292,35,1,0,0
0,1,0,78.85,36,1,0,1
1,2,2,262.375,21,0,0,0
0,1,0,16.1,24,1,0,1
1,0,0,7.925,31,1,0,1
0,1,1,71,70,1,0,1
0,1,1,20.25,16,1,0,1
1,0,0,13,30,0,0,1
0,1,0,53.1,19,1,0,1
0,0,0,7.75,31,1,1,0
1,1,1,23,4,0,0,1
1,0,1,12.475,6,1,0,1
0,0,0,9.5,33,1,0,1
0,0,0,7.8958,23,1,0,1
1,1,2,65,48,0,0,1
1,1,1,14.5,0.67,1,0,1
0,0,0,7.7958,28,1,0,1
0,0,0,11.5,18,1,0,1
0,0,0,8.05,34,1,0,1
1,0,0,86.5,33,0,0,1
0,0,0,7.125,41,1,0,1
1,0,0,7.2292,20,1,0,0
1,1,2,120,36,0,0,1
0,0,0,7.775,16,1,0,1
1,1,0,77.9583,51,0,0,1
0,0,0,7.75,30.5,0,1,0
0,0,0,8.3625,32,1,0,1
0,0,0,9.5,24,1,0,1
0,0,0,7.8542,48,1,0,1
0,0,0,10.5,57,0,0,1
1,1,3,23,54,0,0,1
0,0,0,7.75,18,1,0,1
1,0,0,12.475,5,0,0,1
1,0,1,211.3375,43,0,0,1
1,0,0,7.2292,13,0,0,0
1,1,0,57,17,0,0,1
0,0,0,30,29,1,0,1
0,0,0,7.05,25,1,0,1
0,0,0,7.25,25,1,0,1
1,0,0,7.4958,18,0,0,1
0,4,1,29.125,8,1,1,0
1,1,2,20.575,1,1,0,1
0,0,0,79.2,46,1,0,0
0,0,0,26,16,1,0,1
0,0,0,7.8958,25,1,0,1
0,0,0,13,39,1,0,1
1,0,0,25.9292,49,0,0,1
1,0,0,8.6833,31,0,0,1
0,0,0,7.2292,30,1,0,0
0,1,1,24.15,30,0,0,1
0,0,0,13,34,1,0,1
1,1,1,26.25,31,0,0,1
1,1,2,120,11,1,0,1
1,0,1,8.5167,0.42,1,0,0
1,0,0,6.975,27,1,0,1
0,0,0,7.775,31,1,0,1
0,0,0,0,39,1,0,1
0,0,0,7.775,18,0,0,1
0,0,0,13,39,1,0,1
1,1,0,53.1,33,0,0,1
0,0,0,7.8875,26,1,0,1
0,0,0,24.15,39,1,0,1
0,0,0,10.5,35,1,0,1
0,4,2,31.275,6,0,0,1
0,0,0,8.05,30.5,1,0,1
0,0,0,7.925,23,0,0,1
0,1,1,37.0042,31,1,0,0
0,0,0,6.45,43,1,0,1
0,3,2,27.9,10,1,0,1
1,1,1,93.5,52,0,0,1
1,0,0,8.6625,27,1,0,1
0,0,0,0,38,1,0,1
1,0,1,12.475,27,0,0,1
0,4,1,39.6875,2,1,0,1
1,0,2,37.0042,1,1,0,0
1,1,0,14.4542,15,0,0,0
1,1,1,18.75,0.83,1,0,1
0,0,0,7.8542,23,1,0,1
0,0,0,8.3,18,1,0,1
1,1,1,83.1583,39,0,0,0
0,0,0,8.6625,21,1,0,1
1,0,0,56.4958,32,1,0,1
0,0,0,7.925,20,1,0,1
0,0,0,10.5,16,1,0,1
1,0,0,31,30,0,0,0
0,0,0,6.4375,34.5,1,0,0
0,0,0,8.6625,17,1,0,1
0,0,0,7.55,42,1,0,1
0,0,0,7.8958,35,1,0,0
0,0,1,33,28,1,0,1
0,4,2,31.275,4,1,0,1
0,0,0,7.775,74,1,0,1
0,1,1,15.2458,9,0,0,0
1,0,1,39.4,16,0,0,1
0,1,0,26,44,0,0,1
1,0,1,9.35,18,0,0,1
1,1,1,164.8667,45,0,0,1
1,0,0,26.55,51,1,0,1
1,0,3,19.2583,24,0,0,0
0,2,0,14.1083,41,1,0,1
0,1,0,11.5,21,1,0,1
1,0,0,25.9292,48,0,0,1
0,0,0,13,24,1,0,1
1,0,0,13,42,0,0,1
1,1,0,13.8583,27,0,0,0
0,0,0,50.4958,31,1,0,1
1,1,1,11.1333,4,1,0,1
0,0,0,7.8958,26,1,0,1
1,1,1,52.5542,47,0,0,1
0,0,0,5,33,1,0,1
0,0,0,9,47,1,0,1
1,1,0,24,28,0,0,0
1,0,0,7.225,15,0,0,0
0,0,0,9.8458,20,1,0,1
0,0,0,7.8958,19,1,0,1
1,0,1,83.1583,56,0,0,0
1,0,1,26,25,0,0,1
0,0,0,7.8958,33,1,0,1
0,0,0,10.5167,22,0,0,1
0,0,0,10.5,28,1,0,1
0,0,0,7.05,25,1,0,1
0,0,5,29.125,39,0,1,0
0,0,0,13,27,1,0,1
1,0,0,30,19,0,0,1
1,0,0,30,26,1,0,0
0,0,0,7.75,32,1,1,0